"","V1"
"3277","This had been a great replacement for cable tv but I give three stars because it tends to overheat quite frequently.  We have to plug it out even when we are not watching tv."
"3278","Waited a few days before installing, read and reread install directions. Not that they are complex, just wanted to be sure of what I needed and what I would be doing. Easy installation. The Alexa Voice makes searches simple."
"3279","The new Fire Stick is fantastic. It exceeded my expectations. It is much faster than anything I've used previously and I have access to my Amazon instant video library, Amazon music library, Netflix, YouTube and many other apps that I like to use. The Alexa voice remote is pretty cool too, you can use it to load apps and skip around while watching movies and tv shows, and I've only just begun to discover all of its many functions and uses. For the $39 price, the Fire Stick is definitely worth every penny."
"3280","I bought this as a gift for my nephew from my prime account. Apparently amazon takes it upon themselves to load all of my prime photos to the fire stick not knowing it's being given to someone else. This should be a option when ordering but maybe I missed it. Either way I wasn't happy with the way that went down.Edit... apparently I didn't check the ""this is a gift"" box so it was my fault for my nephew getting all of my pictures.MAKE SURE TO CHECK THIS IS A GIFT BOX IF YOUR GIVING THIS AS A GIFT"
"3281","Just amazing... I've been avoiding the Amazon Fire TV stick for a while but I don't know why... In the end, I decided to buy it. Well, I really regret that time of avoidance... Fire TV stick is just amazing with all the options and possibilities that you can add to it. Unlike other streaming products I already have, this one will allow you to do almost whatever you want beside primary working with Amazon prime which is also not bad at all.No issues at all so far. Only pros and no cons... Time will judge."
"3282","The remote does not work unless the batteries are manually pushed into the contacts. I struggled with the unit initially, put it aside, tried on a couple more occasions (changed batteries, looked up user manual...not being a ""techie"" I thought it was me.) It's really no good without a usable remote. Of course, the return window is closed. Had to download an app to operate from my phone. Not really impressed at all."
"3283","Returned after the millionth time it started playing music when I asked it to go back (or forward) 2 minutes.Hoping for a better version soon, maybe the extra star will help them! 😉"
"3284","This is my 2nd one and I luv it.  Easy setup with an HDMI CABLEI appreciate the enclosed extender.Can't beat the price and free ship on Amazon prime membership"
"3285","Bought this as a second Fire TV Stick for my friend's bedroom. She already has one in the living room. She is very excited about finally having one in her room."
"3286","Plug it in and follow the directions. I have all of my AV equipment set up on one remote controller. It took me a minute to realize that I had to manually select the proper HDMI port from the input menu. Duh!  I love having so many choices for my viewing pleasure - right at my fingertips 😁"
"3287","I have no idea how to do all of the cool stuff with it as advertised such as order a pizza using Alexa w/voice remote but so far I'm pleased with my purchase."
"3288","Works way better and faster than the apps on my DVD player.  We cut the cable and only use an antenna and the fire stick for prime content, Netflix and music."
"3289","Works great on my Samsung TV. Easy to set up and has access to my favorite apps, Netflix and Amazon Prime videos. Wasn't interested in the gaming and extra storage on Amazon TV, the Fire Stick works great for my needs."
"3290","I've got a total of 5 fire tv sticks, two of the remotes work great. The other 3 remotes don't want to work correctly when trying to select a program for favorites. The three bars doesn't want to bring up the selection options. Not sure why yet. Other than that the fire stick itself works great, nice choice of programs when you have your prime membership."
"3291","This has been a fantastic investment.. Upgraded the wi-fi and axed the cable and will save  over a hundred dollars a month.. Once you add the KODI APP YOUR set ... I should have done this along time ago....."
"3292","I currently stream through Apple TV and have to use the AirPlay feature to watch Amazon Video on my TV.  Since this is inconvenient due to the location of my computer, I decided to purchase a device to allow me to directly stream Amazon Video through my TV (and likely replace my Apple TV).Out of the box, the All-New Fire TV Stick with Alexa Voice Remote was quick & easy to set up and I was watching Amazon video on my TV in just a few minutes.  The most difficult aspect of setup was getting the battery compartment on the remote to open (which I noticed numerous others have mentioned) - a serious flaw - I have good manual dexterity and it was actually quite difficult for me.  I was impressed that someone thought to have the welcome/introduction video play automatically during the short wait for the system to be configured.  The voice remote was fun to play with but I doubt it will get very much use in my home, as we mostly watch series and the results from the voice search don't take you to the correct episode in your queue.  I imagine it would be more useful for finding movies, or shows that are not yet in your watch lists.  Picture resolution is fantastic and color is vibrant (actually so vibrant and rich that I found I preferred a less-vibrant color setting on my TV).  I was really excited at first, and expected that it might replace our Apple TV.  This was not to last for long however, as I was disappointed that the only way to view your watch list for both Amazon and Netflix are by scrolling through a carousel (which is cumbersome at best - unless you only have a few titles saved - and I doubt very many people fit in this category).  Although not directly the fault of Amazon Fire Stick (since they are apps), I thought I would mention it in case you are expecting your Netflix or Amazon Video watch list to look & perform the way it does on computer or Kindle Fire (or Apple TV for Netflix).  If it were priced any higher I likely would have returned it - but since it does allow me to watch Amazon on my TV, I'll be keeping it."
"3293","we love this little piece of equipment! access to tons of programming and it's super easy to install and navigate. my kids have fun asking Alexa questions too!!"
"3294","I do not have a smart tv, so this gets me to Amazon Prime on my big flat screen.  However, I never could get the Alexa Voice Remote to work...disappointed because I specifically wanted the voice remote for this product.  I would give this more stars if the voice direction worked."
"3295","Tons of content available to watch. No need for cable tv ever again. And the ability to load apps make it perfect. Bought 2 and buying another on cyber monday!"
"3296","I love love love my fire stick w/ Alexa voice everything I need  at my finger tips I even bought a extra fire stick as a gift for my mom she enjoys her's as well all the movies & tv show"
"3297","Not sure what I would do without my fire stick and streaming Amazon programs now.  Love how I get suggestions, and can add to my watchlist.We have two now."
"3298","Love the things I can have with this amazing little instrument.  I love seeing the movies and listening to music that I want to hear.  Best $40. dollars I have spent in a long time."
"3299","It works perfect,easy to install, no problems at all.I did have one problem with netflix password but called and they helped me immediately. Very very pleased"
"3300","Why does the new stick display over the screen boundaries?  If I recall I didn't need to adjust this at all with the previous stick.  When looking for the place to reduce the display in the stick Settings/Display, all that I was able to do was read their suggestion that I “simply adjust the zoom or overscan setting on your TV.”, which for my TV only offers 16:9 or 4:3.  Not so simple.Please, at least make it the same plus better."
"3301","Happy with my order"
"3302","Only having installed the Firestick a week ago I'm still in the learning phase but from what I've been able to do , watch and play I believe this is an outstanding investment."
"3303","Everything worked great in the beginning then after the update, I can't get anything to work right. Movies buffer, links don't play at all.  I even had it replaced and it it's doing the exact same thing. I'm not sure what's going on. Use to work perfectly and I even bought 3 of many family members 1each and I also bought a 2 year warranty for mine."
"3304","Lots of freebies included with numerous channels/content for your viewing pleasure. Easy to set up. Sorry we waited so long to try it. We are ordering 2 more."
"3305","Not as easy to set up as anticipated.  Still trying to figure it out months later.  Was hoping that it would replace the cable bill... So far, that hasn't occurred.  Still googling and seeing how to get the service I had anticipated.  It is possible that I had higher expectations than it could handle."
"3306","Nice product, seems to be well made (comes from China of course), it works as advertised, set up is easy.  Just wish they would slightly re-design the Fire TV Stick to include a power ON/OFF switch on the remote, so that AC Adapter Power is NOT always being supplied INTO to the Fire TV Stick itself.  Power to the Fire TV Stick is NOT needed when viewing ""anything"" from a different HDMI Port (such as: Cable, Set Top Box, DVD Player, etc.) onto your TV set.  The Alexa Voice feature works very well."
"3307","I love it,  it I ha he to figure out some more stuff. Pretty Awesome!!!"
"3308","Enjoying the Fire Stick so far mainly to watch Acorn and Sling TV. Haven't really tried Alexa."
"3309","I purchased this for an older tv that I mounted in my kitchen along with an antenna. I find myself using the fire stick 95% of the time. I'm not a fan of signing in to all the apps again (I have a roku tv in the other room), but it's totally worth it. I found the fire stick to be snappier than the Samsung smart tv apps and the roku tv. I plan on buying a second one for my bedroom tv (currently using an older Xbox 360 for apps). The fire stick'a remote is awesome- no useless buttons, small size, and it's not line of sight."
"3310","All in all, I'm pretty happy with my purchase of the Amazon fire stick. I really don't feel that the dramatically enhances my current packages with the cable companies, do not save much money. Access to network, sports and news outlets is almost nonexistent. That said, sure do get a lot of movies and music. For the $39.99 paid, and considering I'm an Amazon prime member, It's pretty cool.Still, would only recommend if you had those other outlets in place."
"3311","I bought this for my boyfriend for Christmas and I loved it so much that I bought one for my apartment too. It’s so simple to use and the set up is so quick. In addition it’s so fast. I bought it on Black Friday, so it was on sale. I honestly never thought I’d get something so great for the amount of money I spent. Pleasantly surprised. Perfect Christmas gifts for college students. Say goodbye to the days of using HDMI cables to stream your computer on your tv!"
"3312","I love my Fire TV Stick! I own 3! They are a great addition to your tv and with Alexa Voice control it is a great help when searching for something. Kudos for coming up with a handy, easy to take along accessory!"
"3313","The little stick brought my 8 year old spareroom tv to life! I can now use it to stream movies and music just like my new smart tv. I would buy another for my son's room, but since this is portable I don't have to. I did have some network problems when I first hooked it up, but after I restarted my router it has been fine."
"3314","Although it processes just slightly slower than our Fire TV, it is barely noticeable. Apps like You Tube that are glitchy through our Samsung Smart TV work very smoothly through the Fire Stick. I would recommend it to anyone even ad a supplement to a Smart TV."
"3315","Strongly recommend. I have an echo and an echo dot also so you could say I am biased :-) but this just works effortlessly. Good programing from Amazon although I wish they would bring back the next season of Alpha House."
"3316","The Fire TV Stick with the Alexa Voice remote is awesome. I can just ask Alexa to search for movies and tv shows and its right there without having to look through everything. I love it. And its easy to use."
"3317","Does what it's supposed to. Not earth shattering. Already had Echo Dot and regular fire stick and Xfinity with voice control, so not new to the idea. It's gimmicky rather than practical. However, the batteries are garbage. After only just over a week of use they are needing to be replaced."
"3318","We previously had a couple of Roku boxes..both quit working about the same time. We replaced one with this item. We LOVE it! Even has voice ...works great, no problems, easy install...(really easy!!) Coupled with Amazon Prime? You betcha! The movies are a treat and we still stream Netflix."
"3319","My husband wanted this and I have to admit that I didn't really know how much I would love it until we had it! If you have Prime then this is a must have that you will want to have in order to take advantage of all the Prime movies/tv shows, on your home TV. Works seamlessly. Love the talk feature. No complaints!"
"3320","This is my second purchase.  My previous 1st generation stopped working and I needed new one.  Liked the old one, just hope this doesn't just stop working after one year."
"3321","I have the fire stick and the fire TV gaming edition. I love both of them! I'm thinking about buying another one for myself and a couple more for gifts. Highly recommend!"
"3322","Don't get me wrong, I love my Chromecast also but this completed the gap.  I can now stream Amazon music instead of only what I purchased.  Very quick.  Love it."
"3323","I'm learning to use my new fire stick. So far-so good. It was easy to set up-plug the fire stick into a HDMI port, plug the power cord into an outlet. The device sees your network, you navigate the password and that's about it. Two things-the remote is very small and I had a difficult time to open and install the batteries. I needed a very small screw driver to open it. Second, I may be missing something here, but Amazon refers to Prime Video. Is that a general generic term for video. I see Prime Movies, Prime Series, Prime Channels, etc., but not Prime Video.Some items are subscription, many are free.Prime Photos is a cool feature. I just bought my first smart phone, so I am new to this. You take a photo with your phone. Download a photo app from Amazon Prime Photos. Now, you can send that photo to your fire stick tv and see your pics on a big screen in Prime Photos. That photo will also be sent and saved to Amazon's cloud storage, so only send those photos you want."
"3324","She's just a stick, and she's on fire. Hotter than a fantasy, longer like a highway. She's living in a world, and it's on fire. Feeling the catastrophe, but she knows she can play away. Oh, she got both plugs in the back. And she's streaming it down. Oh, she pulling from the cloud. And she's not slowing down. This stick is on fire. This stick is on fire. She's streaming like fire. This stick is on fire."
"3325","Great Fire stick TV for my cord cutting cable and works fine with all my TVs.  Yes, sometimes it locks up or does not come on my Tv and I have to restart it."
"3326","I love the Fire Stick! Great for running Netflix, Amazon Video and Kodi. Also has some fun games you can play.  The Alexa voice portion is a nice added bonus."
"3327","Downloaded Kodi onto the firestick.  No need for cable anymore. Also, amazon prime has a lot of really good original series, Goliath and Good Girls Revolt are two must see shows."
"3328","We're so pleased with this.  Installed quickly/easily on our TV and gives us so much more availability to watch shows and movies (we have Amazon prime).  It's also fabulous because we take it on vacation with us and hook up to the TV.  So much better than taking a stack of DVDs."
"3329","I have had Apple TV for the past 5 years it was doing a good job. However, I have Amazon Prime and my TV is not compatible with Prime. I couldn't see spending the money for Prime and not getting the full benefit so I bought the fire stick. I do like the voice activation, it makes it a lot easier to find shows etc than going through search. I am disappointed that we are still having to pay to watch a lot of movies. I would think between Netflix and the Fire Stick that should be enough but it still isn't."
"3330","I already own a firestick so I'm pleased with it's capabilities! I gave it 3 stars because I ordered 3 as gifts. I opened the first one to set it up for my parents & the remote is defected! I even switched batteries to see if that was it,  but it's the remote. I constantly had to take the batteries out & put them back in,  it freezes to the point I have to CONSTANTLY tap on the buttons to get it to do anything.  It took me 10 mins to register my mom account so they can use it. Very disappointed in that!"
"3331","Loved the Fire TV Stick already, and this one with Alexa is even better. Such a pleasure to sit down to relax with a good show and not have to try to remember which streaming service it's on."
"3332","Had some trouble with streaming and buffering the 1st movie we watched with it.  We have very fast internet from ATT.  Not the fastest offered but nearly the fastest.  Yet the movie stopped for buffering about four times.  After the movie ended, I checked the settings and found the Fire TV Stick was giving recommendations for improved performance.  I applied those recommendations including changing our WiFi channel from channel 1 to channel 4.  We'll see very soon if those adjustments fixed the problem."
"3333","So far it has worked perfectly, I have used it once. I know you want feedback but you should wait at least a few weeks if you want more accurate data. I am happy so far."
"3334","I love the Fire Stick. I had the little box before, and that worked great, but when it died I decided to try out the Cheaper option.  It is working perfectly!"
"3335","We are preparing to make the cutting cable switch and wanted to ease into it.  The Fire Stick was easy to open and easy to set up.  We are enjoying Fire TV more than we have our Chromecast.  We currently have this set up on our older television in our bedroom.  The voice remote works well and is easy to use.  This is a great buy for those looking to test the waters of being cable free.  We have Amazon Prime and Netflix and for the most part with those and the Fire Stick our tv viewing needs are being met."
"3336","This is amazing. Wish I bought it sooner. The 40.00 one is just fine and does everything. I don't have 4k so if you don't have 4k don't waste your money on the expensive one."
"3337","More than happy with this! Has saved me so much money and have no further need for high, and continuously raising cable or satellite bills!! I went from having to either hook my computer up to my tv to watch my Amazon or Netflix account to having both right where I need them without needing to buy an expensive new ""Smart TV"" as this makes any TV smart!!!"
"3338","love it so far"
"3339","Awesome product, I now use this for my Netflix and it is amazing the voice search is the best on this, I own an Echo and 2 Echo Dots all my Amazon products are amazing. Keep up the amazing work."
"3340","The picture on the tv is great with this for watching all my Prime shows/movies, etc., but it won't work with my Bose surround sound.  I have to use the TV speakers -- disappointing."
"3341","Easy to install if you have your network security code available to get into your secured router. It found my router quick Strong single and good upload and streaming."
"3342","By far, the easiest, most effective streaming device that exists. Took not even 5 minutes to set up. Everything you need is included, works beyond excellent. Suggest this for everyone seeking a streaming device."
"3343","Fantastic product. Had it set up in under 90 seconds! Super easy to log into my accounts on cable channel apps and Alexa is a great addition! I can simply power the fire stick on and say ""play Netflix"" into the remote and it pops right up. The only thing I can think would make it better is if the remote had volume control. Currently it does not."
"3344","Alexa is not as useful as advertised and has limited hardware compatibility with the TV. Tried it for a few weeks and found the overall system to be clunky and difficult to navigate.Probably going to give away."
"3345","This is extremely easy to install and use.  I've just begun to explore what it and Alexa can do.  Asking for something is much quicker than navigating the so many options just in Amazon Prime, for example.  I will be dropping HBO through Spectrum and picking it up through Amazon, too. This is much more sensible t.v. than the cable option."
"3346","I've seldom ordered a product that I have been happier with than the Fire TV stick. It was so simple to set up that I hope to buy a second one for our other TV very soon. I am very pleased with the value from the Prime Membership, too."
"3347","It's a firestick..what more is their to say. Works fine and should last a long time. Buy one or two. Opens a whole new world of entertainment. Not sure what it is or what it does... google it. Best bang for the buck in streaming media."
"3348","I love the ease of switching from my satellite service to the Fire Stick but I do wish it were easier to find television shows I like you have to download different apps to get movies and television shows not original to Amazon. We enjoy the music and a few of the more familiar apps. I came across a few poorly made films that I should have checked the reviews for first. I thinking about dumping my satellite service all together but I have to be able to easily access the shows I currently like to watch."
"3349","I've only had to Fire TV Stick for a few weeks but so far it's exceeded my expectations.  I've had the Fire TV for a while for my TV in the family room and purchased the Stick for my bedroom TV.  I had read that the Stick wasn't as good as the Fire TV but so far I haven't seen a difference.  Probably the biggest advantage of the Fire TV or the Stick is you and add storage to the Fire TV but you can't on the Stick.  That hasn't been an issue thus far but as I download more apps it could become an issue."
"3350","This product delivers!  I have been able to watch what I want and when I want to, with high quality. Yes, you may have to hunt around a little for your source.  But I don't consider that an issue.  FYI...We had a little trouble trying to figure out how to get ""in"" the first time, but a search on youtube brought up step by step instructions.  Easy peasy - just remember that you follow that navigation in each time.  Again, for what I'm getting, - not a problem!  Freedom! --It's a beautiful thing!"
"3351","Not as expectedCons:1. Very Confusing Interface2. Bad Parental Control. Even after enabling parental controls, my 2 year old son has subscribed for Starz.3. Ad's in the top. Since we bought this device, I didn't expect to see ad's on the top.4. Chromecast is not supported by fire stick by default. It's only app based5. No option to control or delete Prime Photos. Since we store all our photos and videos in Prime Photos, we are concerned when ever my son opens Prime photos infant of our friends."
"3352","Best 30 dollars I spent in a while.. Watch anything u want I'm new to it so I'm trying to find out how to live stream TV I have watched some channel but can't find most download kodi. U really don't need cable anymore"
"3353","The Fire TV Stick meets all my expectations. I purchased this because my roommate had the previous model and it seemed to work well for him. My previous ""smart"" device was a blu-ray player that was very slow, very laggy and lacked many apps. Honestly, I haven't had any problem with this product however have had many positives.Pros:- fast-no lag-many apps available-super easy set up-no problem linking accounts for apps such as Spotify, Netflix, CW App, MTV app, etc."
"3354","Absolutely love my fire stick. I did notice that the remote with Alexa voice control went through batteries a lot faster though. That is reason why i gave 4 stars. 5 stars for the original fire stuck though. Love how you can upgrade the fire stick to your liking also."
"3355","We love it!!! It does freeze once in awhile and needs to be reset but it's just when we had direct tv. It froze at times. But it has great movies and shows."
"3356","This is our second Fire Stick and this one came with Alexa.  Have only used Alexa to play Amazon music but it works great.  I highly recommend this product."
"3357","These sticks constantly have issues....overheat, drop wireless signal and need to be reset.....change from regular wifii to 5g wifi....""opps error""."
"3358","Lightning took out my last one, so new one.  The Alexa part doesn't work so well. I talk to it and it doesn't comprehend.  But I don't care, so only 4 stars"
"3359","I enjoy watching movies and videos I had not seen.  The volume is the problem.  I have to adjust the volume constantly.  Maybe your techs. can work on that."
"3360","Works wonderfully.  Replacing my Roku box for this because I use Kodi a lot, and was tired of hooking my computer up to the TV to use apps through Kodi.  Definitely Recommend this product."
"3361","Great Device. Amazon made a great add on here.  Switched from Roku as you have more options with the Firestick.  Very fast and love the RF remote that works through the walls."
"3362","A little confusing to start but after exploring we are getting the hang of it. We bought it to use in master bed and see if it would be worth getting rid of cable boxes. Still up in the air about that one.  Only gave a 4 star because sometimes it lacks quality and speed but for $40 is pretty nice to turn our tv into a smart tv."
"3363","Was using my ps4 to watch all my movie apps. And the fire stick does it with ease. And let’s me search a great deal more. Can take it anywhere with ease. And pretty user friendly."
"3364","Its good. But the control aweful. I have to keep putting in new baterries and it stops working have to take out the batteries and put them back in.  Its getting annoying."
"3365","Frankly, I haven't had a chance to 'experience' the tvstick.  However, I'm beginning to think my husband may consider this the 'other woman' in his life!! :)  It is AWESOME!"
"3366","Gift item , I have my friends and family's on standby. Cable tv imo is overpriced. I can watch what I want on my terms. I got the power thanks fire tv stick"
"3367","I believe this is an improvement over the basic Amazon TV Firestick due to the Alexa voice command and the larger size. I have been happy with the purchase."
"3368","Wow!  The easiest and fastest  of it's kind.  The voice remote is a plus but it's made working between our devices much easier.  Our DVD player has a Netflix function that too forever to load.  Not the Fire stick... seamlessly goes from Netflix to Amazon Prime.  Not a technical person at all so if you aren't this is a great way to go (I have the google stick and I stopped using it because it kept requiring me to reload it on my phone for operation)  Like it so much I'm considering a Dot or an Alexa..."
"3369","The Amazon Fire TV Stick is Amazing!After purchasing the Amazon Fire TV (which has an ethernet port) for my living room television, and having a great experience, I purchased two additional Amazon Fire TV Sticks (only works with WiFi) for two bedrooms.  I removed the small computer sticks from the bedroom tvs and replaced them with the Amazon Fire Sticks, and am very pleased with their flawless function.I'm SOLD on the Amazon Fire TV line.  Major League KUDOS to the Developers!  :)"
"3370","I have read so many reviews before I bought this......TILL I WAS CONFUSED. Bottom line..it does not replace your TV...Nor does it replace your  cable subscription...I cancelled my cable... And glad i did..I wanted to do that for some time. Some of my TV shows i may have to buy..Big deal....The great thing  about Fire TV, you have an abudance of FREE stuff from Amazon. Being a Prime Member in my opinion is the way to go to enjoy all the benefits Amazon has to offer...If you don't like it.......Return it"
"3371","I love it but ... I have been getting a lot of network errors , playback errors and Alexa doesn't work all the time . I have an Apple TV as well and it works perfectly fine it is connected to same tv and everything. I power cycle and it's ok for a few hours but I want a more permanent fix it is highly annoying having to power cycle ever day sometimes 3 times a day. When it works it is a great product."
"3372","Having difficult time getting it lined p with my android device, but am watching my first movie finally.  Got an instruction with print I can see so am hoping to get to be an expert"
"3373","Disappointed I even thought about not buying this. I have had one time where it was skipping but after about 10 seconds it figured it's stuff out and has been working perfect since. I'm able to take it with me on vacation and that's awesome!!  Pandora, Netflix and HBO Go are why I purchased this and they all work great. Speaking to Alexa is different since I have the Xbox Kinect commands memorized but the commands I do know work. All around great buy. I thought about buying one for my siblings for Christmas. Maybe I will."
"3374","Easily the best thing I have and ever will purchase from amazon! they did a great job building this product. Simple, easy, perfect. great TV shows through prime video and movies as well. if they can keep adding good shows and movies I can easily stop my netflix account (but i have my fire stick hooked up to netflix so maybe not)"
"3375","I love this fire stick so far and there is so many things you can do and thousands of TV shows and movies all that you can stream, it's great and I loved that Alexa came with it too."
"3376","Love the  2 fire sticks with Alexa voice.  Now I have a fire stick on all of our televisions.So much for such a low price.I'm an Amazon Girl!!!"
"3377","I have a samsung smart tv that's buffering constantly with amazon and Netflix. Since I've been using the fire stick, everything has been streaming smoothly!"
"3378","This stick turned my OLD flatscreen upstairs into a smart tv! It was easy to set up, and easy to navigate. I can now stream my prime, Netflix and Hulu upstairs without having to buy a smart tv. Wonderful investment!"
"3379","Easy to install & set-up. Works like a charm."
"3380","My internet could be faster but it works and shows great. I wish I could get Alexa voice to work in an app. I end up typing just so I can be more specific."
"3381","Didn't know that using the Fire Stick would be that easy and expand viewing possibilities or would have purchased it much sooner.  Couldn't be happier with this purchase.  No more network TV unless I want to.  Yeah!"
"3382","We love watching Netflix and amazon with our new firestick. Had no problem hooking up. Had problems with frozen screen. Followed all instructions on amazon site on how to fix frozen remote.Changed original batteries first day. Then tv memo came on stating batteries low. So will change again. I see many sites about frozen firestick so I'm assuming there are ongoing problems with firestick. Hope it all gets better."
"3383","So far I love this  item I thought I had to have an Alexa here but it works without anything else just works off The TV so you can talk to it I love it so far"
"3384","I had a lot of issues with this stick. Until now not sure if due to the a lot of up and downs on my internet GB banwith or simply this was a defective product. I move to a different city recently. Only one of two issues so far."
"3385","We love this fire stick. We have a new tv but, not a smart tv. We also passed on cable subscriptions. The stick, along with our prime, Netflix, Hulu and sling give us everything we want on television. We save a lot of money. This stick and prime combined are winners."
"3386","Works really well on everything except Alexa which is still pretty dumb. I have a problem with asking her to play music because it doesn't play it in the background and you can't control the song once you use Alexa so it's kind of pointless but use it every day still"
"3387","Can not beat this stick! Use it in vacation home for full connect to all our programs.Only problem is Too much TV to watch. Bad for the addictive watchers."
"3388","Haven't figured it all out but what I do know, I like it. was having trouble streaming movies so ordered this and now I can stream much better and quicker."
"3389","Bought as a Christmas gift, but gave early due to illness and recovery. Folks couldn’t have been happier. Had many more options while resting on the couch."
"3390","We use it mostly to watch Netflix. We used to connect our laptop to TV every time but now it is not necessary. It is really convenient. Also we took the fire stick with us on vacation and simply plugged it in the TV in our hotel room. It works fine."
"3391","I have Chromecast ($40), AppleTV ($160), and Fire TV ($40).  The Chromecast is in a drawer, it was not user friendly.  The Fire TV is really good.  I love Apple products, and the Apple TV has some good apps.  But the Fire TV has all the apps I want.  The Apple TV remote is a pain to use..there is limited tactile feedback and it is always making mistakes.  The Fire TV remote feels good and works well.  The Apple TV won't speak, and the Fire TV can tell me the weather and answer questions --- Fire TV wins."
"3392","I absolutely love my Fire Stick!! Alexa makes watching TV easier than I ever imagined (and probably easier than my lazy self needs). I have access to all of my favorites, PLUS more. Streaming is buffer free and I can even listen to my favorite playlists from Spotify. Thanks to the simple installation and only requiring a HDMI port, I was able to turn an older TV into a smart TV instead of spending tons more on a new smart TV. Honestly, my Amazon Fire Stick is one of my favorite purchases of the year."
"3393","Very difficult to navigate. I did not like the delay when clicking on desired channels or having to sign in for everything. Much too time consuming also the lack of live local tv news was a major disappointment for me."
"3394","would buy again"
"3395","Only used it 3 times but it was fun to watch some old western shows without commercials!  Can't wait to kick back in this summer heat and enjoy more shows."
"3396","Very pleased with my new fire stick, it's technology as I would never have imagined possible as a kid. I do need to upgrade my router now as it is not up to the task demands of fire stick and Alexa."
"3397","I bought this item to replace my expensive cable bill.  So far so good!"
"3398","Cancelled Dish , now I'm paying $37 with PS Vue , has all the channel I watch. TruTV beIN sport Fox deportes , I can use my login to each separate networks on the go amazing.  Unable to locate App I just add it with my laptop, already installed fire stick. Using old Led TV is fine, little of lag to lunch apps, Does not go as fast as my DroidTv.  For the price , we love it. Makes the old tv smart lol."
"3399","Smartest buy I have ever made.  Love, love, love my fire stick.  It makes watching Amazon Prime, Netflix and other shows so much easier to load and stream."
"3400","Works great! Quick response.  Going to get one for lower level.  Only problem I have is menu .  Different from menu on kindle for video which is easy .  Haven't figured out fire stick menu for movies."
"3401","I bought the Fire Stick last week and it arrived on Sunday (2 day delivery). I loved it right away and promptly ordered 2 more and now all 3 TVs are hooked up. Hooking and setting up was a breeze. I have cable but feel like I've been flushing money down the toilet the last few years because I don't watch it. Netflix and Amazon Prime along with my DVDs are all I watch. Can't wait to start saving money. Also had not been able to access Netflix through the xBox for over 4 days so unhooking that didn't break my heart."
"3402","We already were Amazon Prime members, this was to make viewing easier than using the X-Box 360 for Amazon content.  Wish the price was less, but works great for adding to our Dishnetwork options.  We would consider programming through Fire but have rural line of sight internet and the bandwith available won't support multiple TV and program streaming."
"3403","this is as great as the new roku stick which I had till it went goofy on me.  voice works well on this and current items you are watching means not having to dig for them.  only minor bad things are, getting lid off remote to insert batteries in awkward and warranty is only 90 days so I bought 2 year coverage as extra. (did not take off star for that because with it, it is still cheaper that roku)  UPDATE: 03/20/17  for the last week the HBO Now has not worked and I tried everything, still no good. Now the warranty people said they will not cover this because Amazon warranty is still in effect.  Amazon warranty is ONLY 90 DAYS so the SquareTrade is worthless.  DO NOT BUY EXTENDED WARRANTY.  I WOULD NOT BUY THIS FIRESTICK AGAIN AS AMAZON WARRANTY IS TOO SHORT"
"3404","Love my stick"
"3405","I LOVE my new Fire Stick.  It was easy to install and I haven't had any problems with it.  The best feature is the Alexa voice remote.  That makes it easy to search for what you're looking for.  My grandchildren ages 7 and 5 are able to use this without problems.  I will be purchasing several to give as gifts."
"3406","Could not be simpler to set up.  Plugged into HDMI of AV Receiver (not TV), and worked the first time I turned it on.  Now I have sound through the strereo just like when I watch TV.  So simple to use.  Was worried about buffering being wireless, and if you didn't know better, you would think it is hard wired."
"3407","If Amazon would allow Google apps such as music and movies to work on the fire stick, I would've bought a second stick instead of a Chromecast.  Also, I don't know who's to blame for HBO Go not working between Charter cable and the  fire stick/tv, but they need to figure it out and give the consumers what they want."
"3408","Ten times better than chromecast I don't have any amazon products besides this and I highly recommend it. You don't have to connect it to your phone, it connects to wifi itself, there are tons of apps and games and everything is super easy to use. Just get it"
"3409","Love it. Unfortunately I had one purchased in Dec 2016 just fail. Complete loss wireless connections to remote, router and even the iOS remote app. Recommend to purchase the extended warranty plan."
"3410","Love it!!! I feel am really in control of what l watch on TV!!!  I just wish you had more Christian channels, but other than that it was money well spent!!!"
"3411","If you have Amazon prime, you need one of these.  It's a great device.  Allows easy use of your Amazon Prime video.  Great movies and series available.  Very easy to use.  I highly recommend this device.  Easy to set up and it works."
"3412","Great unit, I also have a Chromecast I like them both. But for the money I have to give the nod to the Fire Stick. It does somethings the Chromecast can't."
"3413","We just received this on the 20th and we have already went through 4 sets of new batteries.  The remote really drains the batteries. Hopefully this gets improved. Not impressed!"
"3414","Its just ok not bad not good. We already have prime for the shipping option so no extra cost there. There are a lot of tv and moving, some are good some not so good. But the real reason I got the fire stick is so I can look for the TV and movie I wanted to see. And most of them where there BUT you had to pay or down load an app. Now a word about these app, they will say 30day free trial, but what they do not say is when the trial is over they will automatically bill you and they do not say how much."
"3415","I am comparing this item with Roku2 which Inused until a lightning bolt near my home fried both Rocku box and my TV (I know first ever).Pros. Remote is awesome and stick is small and easy to plugin.Cons. Constant connection issues, errors with Apps, disconnect after period of time while on pause and the entire menu while is not that horrible it is clumsy and too many clicks to get to where I want to be or back to my previous watched program.Overall I miss my Roku."
